1136117715.As.q.html	why are there so many stars what are there purposes i want to be an astronomer when i grow up and i have always wondered why three are so many stars seeing as nothing can live on them they sort of just sit there so what is three purpose why are they all there
1136117958.As.q.html	is gravity acually a solid figure or is it a gas or liquid we are learning astronomy in class and noby knows i want to
1136183471.Bc.q.html	does the human body or any of its components and humors emit light i was asked this in a 4th grade classroom i think the student was referring to human byproducts specifically but i thought id broaden the question a bit i note that xtc sings dont you know were all light but adds i read that someplace maybe here
1136215286.Mi.q.html	how can i identify molds on bread i am conducting a science fair project on how long it takes mold to grow on bread i have grown the mold and now i would like to find out what kinds i have thanks for your help
1136227898.Ev.q.html	why arent humans in africa born with harder feet a lot of african tribes have walked barefoot for thousands of years and so develop calluses on the feet their ancestors also would have walked barefoot so why havent humans in africa adapted to this lifestyle and evolved to a point where their feet are harder why are they still born with soft feet like all other humans in all other parts of the world
1136259764.Ch.q.html	is silver acetate a good conductor and how do i know i am doing a project for physical science that involves a solution containing silver acetate i cannot find anything on the internet that tells me the conductivity
1136260255.Mi.q.html	why havent harmful heat resistant bacteria evolved antibiotics have been used for less than 80 years 65 years since widespread use drug resistant bacteria have evolved already evidence suggeats that man has used fire for at least 18 million years the mechanism of undercooking food would appear analogous to not taking a full course of antibiotics it should promote the evolution of heat resistant bacteria requiring higher and higher safe cooking temperatures microbes have been documented in environments of over 250 degf albeit at high pressures yet safe cooking temperatures are only in the 160 to 180 degf range why not 190 or 200 or 210 degf if evolution has had so long to work
1136298919.Ph.q.html	how does the ledcoatedwithquantumdots produce white light i recently read in the paper that scientists have discovered how coating an led with a specific structure of quantum dots crystals of 2 elementsi forget which can produce white light since white light is made of all frequencies and atoms have specific spectrums how can atoms of only 2 elements produce all the frequencies of white light i recall the article mentioned something about a specific number of crystals like 13 or 14 or something which they said was a magic number the crystals seem to prefer does that have anything to do with it
1136301692.Eg.q.html	why can i hear dtmf when i dial the numbers on the keypad of my telephone as a part of my science fair report i need to know why people hear the tone of the unique key when pressed i already know the hertz of each key i dont understand why its is played to us when we dial thank you
1136323622.Ev.q.html	have humans ever had the ability to predict natural disasters im sorry my last question was not entirely clear what i would like to know is why other animals have the ability to predict natural disasters and we dont i know that aanimals can tell when an earthquake is soon suchas dogs barking fish jumping out of water things like that i heard on the radio when they were talking about the boxing day tsunami that there was some sort of national park for animals but none were hurt seeing as they could predict that it was coming what i would like to know wh cant we i would just like to know its been really teasing me
1136323832.Ev.q.html	sea life and color patterns is the wide variety color patterns of seal life fish explained by the theory of evolution some fish im not sure of names have standard complete circles of black or other colors near their tail and others have complete standard all the fish in the phenotype have circular shapes or identical patterns on their bodies why dont any of these species have interrupted patterns like a triangle in one section of the circle and why are the color patters of these not one but many species and phenotypes so identical i understand that inbreeding can produce very similar phenotypes but how can that explain the complete geometrical round patterns of so many different species of fish i would have a better understanding if the phenotypes were pied like if you breed a white budgie to a blue budgie even if i selectively inbred budgies without any complications to have circular color patterns on their tails lets say its for a decoy of the head of the budgie for predators i surmise it would take years to create a budgie with a circular color pattern near its tail if ever and yet in the sea there are so many different species with geometrical and identical to the eye patterns best regards harjit
1136326748.Vi.q.html	why sequence influenza virus genome i am curious about the current development in influenza research i understand that there is an initiative to sequence the rna genome of the influenza viruses mostly and currently centering around the samples isolated from patients in new york usa given that the sequences will be made known soon and ignoring that there may be new variants appearing meanwhile what do scientists hope to achieve by sequencing the virus genome the virus genome is relatively simple and short so how will the scientists proceed after knowing their sequences thank you
1136334274.Bc.q.html	how much citric acid does a grapefruit contain i am doing a science project and i want to know how much citric acid is in grape fruiti have tried all websites that can help but none of them have been any help to methank you for your time
